objectid,altnumtype,altnum
2172,Old Accession Number,B-843
2178,Old Accession Number,B-848
2179,Old Accession Number,B-849
2182,Old Accession Number,B-852
2183,Old Accession Number,B-853
2184,Old Accession Number,B-854
2205,Old Accession Number,B-875
2207,Old Accession Number,B-877
2211,Old Accession Number,B-881
2213,Old Accession Number,B-882
2216,Old Accession Number,B-885
2220,Old Accession Number,B-889
2222,Old Accession Number,B-891
2226,Old Accession Number,B-895
2227,Old Accession Number,B-896
2228,Old Accession Number,B-897
2230,Old Accession Number,B-899
2231,Old Accession Number,B-900
2233,Old Accession Number,B-902
2238,Old Accession Number,B-907
2240,Old Accession Number,B-909
2241,Old Accession Number,B-910
2242,Old Accession Number,B-911
2243,Old Accession Number,B-912
2246,Old Accession Number,B-915
2247,Old Accession Number,B-916
2248,Old Accession Number,B-917
2261,Old Accession Number,B-929
2262,Old Accession Number,B-930
2269,Old Accession Number,B-937
2271,Old Accession Number,B-939
2277,Old Accession Number,B-945
2278,Old Accession Number,B-946
2284,Old Accession Number,B-951
2287,Old Accession Number,B-954
2290,Old Accession Number,B-957
2292,Old Accession Number,B-959
2297,Old Accession Number,B-964
2301,Old Accession Number,B-968
2302,Old Accession Number,B-969
2315,Old Accession Number,B-982
2318,Old Accession Number,B-985
2322,Old Accession Number,B-989
2326,Old Accession Number,B-993
2329,Old Accession Number,B-996
2337,Old Accession Number,B-1003
2342,Old Accession Number,B-1008
2346,Old Accession Number,B-1011
2353,Old Accession Number,B-1018
2354,Old Accession Number,B-1019
2357,Old Accession Number,B-1022
2369,Old Accession Number,B-1033
2371,Old Accession Number,B-1035
2372,Old Accession Number,B-1036
2374,Old Accession Number,B-1038
2376,Old Accession Number,B-1040
2378,Old Accession Number,B-1042
2388,Old Accession Number,B-1051
2394,Old Accession Number,B-1057
2397,Old Accession Number,B-1060
2398,Old Accession Number,B-1062
2406,Old Accession Number,B-1069
2407,Old Accession Number,B-1070
2412,Old Accession Number,B-1278
2420,Old Accession Number,B-1305
2422,Old Accession Number,B-1305
2429,Old Accession Number,B-1355
2430,Old Accession Number,B-1355
2438,Old Accession Number,B-1373
2442,Old Accession Number,B-1377
2444,Old Accession Number,B-1379
2445,Old Accession Number,B-1380
2449,Old Accession Number,B-1383
2455,Old Accession Number,B-1386
2457,Old Accession Number,B-1387
2459,Old Accession Number,B-1389
2461,Old Accession Number,B-1391
2464,Old Accession Number,B-1394
2471,Old Accession Number,B-1463
2481,Old Accession Number,B-1469
2486,Old Accession Number,B-1549
2493,Old Accession Number,B-1553
2496,Old Accession Number,B-1562
2498,Old Accession Number,B-1562
2501,Old Accession Number,B-1562
2502,Old Accession Number,B-1562
2517,Old Accession Number,B-1574
2518,Old Accession Number,B-1574
2519,Old Accession Number,B-1600
2521,Old Accession Number,B-1611
2523,Old Accession Number,B-1629
2524,Old Accession Number,B-1632
2532,Old Accession Number,B-1697
2538,Old Accession Number,B-1707
2540,Old Accession Number,B-1744
2542,Old Accession Number,B-1744
2543,Old Accession Number,B-1744
2545,Old Accession Number,B-1745
2547,Old Accession Number,B-1745
2554,Old Accession Number,B-1753
2558,Old Accession Number,B-1755
