uuid,idschemelabel,identifier
004336dd-5f03-4337-8adf-a5969b7ff866,Wikidata ID,Q64573356
00434192-c5db-41a4-9d93-a22cc8c5da7d,Old Accession Number,I-12606
00434192-c5db-41a4-9d93-a22cc8c5da7d,Wikidata ID,Q64630714
0044017d-eebb-4f3f-bab1-1167d2feab8f,Old Accession Number,B-22553
0044017d-eebb-4f3f-bab1-1167d2feab8f,Wikidata ID,Q65510165
0044569d-b879-4c57-aa52-8aec2346f1b6,Old Accession Number,B-1063
00448740-f605-4f03-be8d-d88c02e6d00f,Old Accession Number,B-4017
00448740-f605-4f03-be8d-d88c02e6d00f,Wikidata ID,Q64632125
00452b75-bd19-4990-9b9d-4c66f4994509,Old Accession Number,B-21296
00452b75-bd19-4990-9b9d-4c66f4994509,Wikidata ID,Q64536920
00452f10-dc67-447f-893d-e118f557a696,Wikidata ID,Q76560231
0045cc40-0013-466d-9a75-2e3b3293c5eb,Wikidata ID,Q77009537
0046bb7b-a104-4467-9a36-cff5b082ddb8,Wikidata ID,Q74883905
0047b1f7-4af7-48bc-b399-c002e0616eeb,Wikidata ID,Q64155948
0047ed21-fa39-4afc-afe2-7759cc270501,Wikidata ID,Q64539948
00480656-6f47-4091-9560-793469affe4d,Wikidata ID,Q74043177
00485d2d-bd99-4ba4-b9c0-a8a1beb1bdcd,Old Accession Number,A-575
00485d2d-bd99-4ba4-b9c0-a8a1beb1bdcd,Wikidata ID,Q63814834
0049b534-6f33-4e55-a7de-b9b30c26a19f,Wikidata ID,Q64583664
004a68a4-9f8f-4f4f-9134-053bd980bc2d,Wikidata ID,Q76457493
004acc96-5dab-4773-95ef-2e39212ca826,Wikidata ID,Q64619141
004b5f8b-70e7-4275-8ad6-f5e8510b2f06,Old Accession Number,A-274
004b5f8b-70e7-4275-8ad6-f5e8510b2f06,Wikidata ID,Q63809723
004b8b4c-8285-42ca-add4-7b67498a76fb,Old Accession Number,B-24213
004b8b4c-8285-42ca-add4-7b67498a76fb,Wikidata ID,Q65507984
004b9920-c3a6-4873-af0c-5a989ca34c19,Old Accession Number,B-29476
004b9920-c3a6-4873-af0c-5a989ca34c19,Wikidata ID,Q65509275
