constituentid,text,texttype,year
1139,"Boskovits, Miklós, and David Alan Brown, et al. _Italian Paintings of the Fifteenth Century. The Systematic Catalogue of the National Gallery of Art_. Washington, D.C., 2003: 201.",bibliography,2003
1172,"Boskovits, Miklós, and David Alan Brown, et al. _Italian Paintings of the Fifteenth Century. The Systematic Catalogue of the National Gallery of Art_. Washington, D.C., 2003: 214.",bibliography,2003
2317,"Bourdery, Louis. ""Léonard Limosin et son oeuvre."" _Bulletin spécial du cinquantenaire de la société archéologique et historique du Limousins_ (1895): cixii-cixxiv. 163-174.",bibliography,1895
2377,"MacLaren, Neil. _The Dutch School, 1600-1900_. Revised and expanded by Christopher Brown. 2 vols. National Gallery Catalogues. London, 1991: 1:19-20.",bibliography,1991
5451,"MacLaren, Neil. _The Dutch School, 1600-1900_. Revised and expanded by Christopher Brown. 2 vols. National Gallery Catalogues. London, 1991: 1:411-412.",bibliography,1991
5957,"MacLaren, Neil. _The Dutch School, 1600-1900_. Revised and expanded by Christopher Brown. 2 vols. National Gallery Catalogues. London, 1991: 1:5-6.",bibliography,1991
1797,"MacLaren, Neil. _The Dutch School, 1600-1900_. Revised and expanded by Christopher Brown. 2 vols. National Gallery Catalogues. London, 1991: 1:313-314.",bibliography,1991
1853,"MacLaren, Neil. _The Dutch School, 1600-1900_. Revised and expanded by Christopher Brown. 2 vols. National Gallery Catalogues. London, 1991: 1:406.",bibliography,1991
1850,"MacLaren, Neil. _The Dutch School, 1600-1900_. Revised and expanded by Christopher Brown. 2 vols. National Gallery Catalogues. London, 1991: 1:379.",bibliography,1991
1901,"MacLaren, Neil. _The Dutch School, 1600-1900_. Revised and expanded by Christopher Brown. 2 vols. National Gallery Catalogues. London, 1991: 1:423-424.",bibliography,1991
1944,"MacLaren, Neil. _The Dutch School, 1600-1900_. Revised and expanded by Christopher Brown. 2 vols. National Gallery Catalogues. London, 1991: 1:501-502.",bibliography,1991
1718,"MacLaren, Neil. _The Dutch School, 1600-1900_. Revised and expanded by Christopher Brown. 2 vols. National Gallery Catalogues. London, 1991: 1:261.",bibliography,1991
1717,"MacLaren, Neil. _The Dutch School, 1600-1900_. Revised and expanded by Christopher Brown. 2 vols. National Gallery Catalogues. London, 1991: 1:253-254.",bibliography,1991
1760,"MacLaren, Neil. _The Dutch School, 1600-1900_. Revised and expanded by Christopher Brown. 2 vols. National Gallery Catalogues. London, 1991: 1:297-298.",bibliography,1991
1761,"MacLaren, Neil. _The Dutch School, 1600-1900_. Revised and expanded by Christopher Brown. 2 vols. National Gallery Catalogues. London, 1991: 1:303.",bibliography,1991
1485,"MacLaren, Neil. _The Dutch School, 1600-1900_. Revised and expanded by Christopher Brown. 2 vols. National Gallery Catalogues. London, 1991: 1:226.",bibliography,1991
1503,"MacLaren, Neil. _The Dutch School, 1600-1900_. Revised and expanded by Christopher Brown. 2 vols. National Gallery Catalogues. London, 1991: 1:239.",bibliography,1991
1430,"MacLaren, Neil. _The Dutch School, 1600-1900_. Revised and expanded by Christopher Brown. 2 vols. National Gallery Catalogues. London, 1991: 1:213.",bibliography,1991
1409,"MacLaren, Neil. _The Dutch School, 1600-1900_. Revised and expanded by Christopher Brown. 2 vols. National Gallery Catalogues. London, 1991: 1:207-208.",bibliography,1991
1239,"MacLaren, Neil. _The Dutch School, 1600-1900_. Revised and expanded by Christopher Brown. 2 vols. National Gallery Catalogues. London, 1991: 1:105.",bibliography,1991
1202,"MacLaren, Neil. _The Dutch School, 1600-1900_. Revised and expanded by Christopher Brown. 2 vols. National Gallery Catalogues. London, 1991: 1:86-87.",bibliography,1991
1369,"MacLaren, Neil. _The Dutch School, 1600-1900_. Revised and expanded by Christopher Brown. 2 vols. National Gallery Catalogues. London, 1991: 1:154-155.",bibliography,1991
1354,"MacLaren, Neil. _The Dutch School, 1600-1900_. Revised and expanded by Christopher Brown. 2 vols. National Gallery Catalogues. London, 1991: 1:143-144.",bibliography,1991
1395,"MacLaren, Neil. _The Dutch School, 1600-1900_. Revised and expanded by Christopher Brown. 2 vols. National Gallery Catalogues. London, 1991: 1:168.",bibliography,1991
1398,"MacLaren, Neil. _The Dutch School, 1600-1900_. Revised and expanded by Christopher Brown. 2 vols. National Gallery Catalogues. London, 1991: 1:175.",bibliography,1991
1403,"MacLaren, Neil. _The Dutch School, 1600-1900_. Revised and expanded by Christopher Brown. 2 vols. National Gallery Catalogues. London, 1991: 1:195-196.",bibliography,1991
6677,"MacLaren, Neil. _The Dutch School, 1600-1900_. Revised and expanded by Christopher Brown. 2 vols. National Gallery Catalogues. London, 1991: 1:275.",bibliography,1991
983,"MacLaren, Neil. _The Dutch School, 1600-1900_. Revised and expanded by Christopher Brown. 2 vols. National Gallery Catalogues. London, 1991: 1:31-32.",bibliography,1991
129,"MacLaren, Neil. _The Dutch School, 1600-1900_. Revised and expanded by Christopher Brown. 2 vols. National Gallery Catalogues. London, 1991: 1:3.",bibliography,1991
6627,"Brown, Jonathan, and Richard G. Mann. _Spanish Paintings of the Fifteenth through Nineteenth Centuries_. The Collections of the National Gallery of Art Systematic Catalogue. Washington, D.C., 1990: 128.",bibliography,1990
8468,"Brown, Jonathan, and Richard G. Mann. _Spanish Paintings of the Fifteenth through Nineteenth Centuries_. The Collections of the National Gallery of Art Systematic Catalogue. Washington, D.C., 1990: 27-31",bibliography,1990
