objectid,element,dimensiontype,dimension,unitname
281,overall,height,27.5000000000,centimeters
281,overall,width,30.5000000000,centimeters
282,painted surface,height,42.7000000000,centimeters
282,painted surface,width,45.5000000000,centimeters
283,overall,height,11.0000000000,centimeters
283,overall,width,20.0000000000,centimeters
284,painted surface,height,31.0000000000,centimeters
284,painted surface,width,38.0000000000,centimeters
285,overall,height,20.6000000000,centimeters
285,overall,width,16.5000000000,centimeters
288,overall,height,42.9000000000,centimeters
288,overall,width,33.7000000000,centimeters
293,overall,height,43.8000000000,centimeters
293,overall,width,40.3000000000,centimeters
294,overall,height,60.1000000000,centimeters
294,overall,width,154.3000000000,centimeters
296,overall,height,40.3000000000,centimeters
296,overall,width,35.9000000000,centimeters
297,overall,height,56.5000000000,centimeters
297,overall,width,42.2000000000,centimeters
300,overall,height,50.4000000000,centimeters
300,overall,width,71.6000000000,centimeters
301,overall,height,56.2000000000,centimeters
301,overall,width,44.1000000000,centimeters
306,overall,height,123.8000000000,centimeters
306,overall,width,95.3000000000,centimeters
309,overall,height,48.0000000000,centimeters
309,overall,width,40.0000000000,centimeters
319,overall,height,34.8000000000,centimeters
319,overall,width,20.2000000000,centimeters
320,overall,height,41.9000000000,centimeters
320,overall,width,35.9000000000,centimeters
321,overall,height,158.8000000000,centimeters
321,overall,width,272.2000000000,centimeters
323,painted surface,height,30.0000000000,centimeters
323,painted surface,width,23.0000000000,centimeters
332,overall,height,117.3000000000,centimeters
332,overall,width,93.7000000000,centimeters
344,painted surface,height,161.0000000000,centimeters
344,painted surface,width,79.0000000000,centimeters
354,overall,height,65.9000000000,centimeters
354,overall,width,55.3000000000,centimeters
355,overall,height,79.5000000000,centimeters
355,overall,width,60.0000000000,centimeters
356,overall,height,70.2000000000,centimeters
356,overall,width,50.0000000000,centimeters
357,painted surface,height,29.5000000000,centimeters
357,painted surface,width,20.5000000000,centimeters
358,painted surface,height,47.0000000000,centimeters
358,painted surface,width,37.5000000000,centimeters
359,overall,height,87.6000000000,centimeters
359,overall,width,62.8000000000,centimeters
360,overall,height,54.0000000000,centimeters
360,overall,width,38.1000000000,centimeters
361,overall,height,53.7000000000,centimeters
361,overall,width,38.7000000000,centimeters
362,overall,height,83.0000000000,centimeters
362,overall,width,57.0000000000,centimeters
