locationkey,locationtype,description,ispublicvenue,mapimageurl,mapshapetype,mapshapecoords,partof
EG-107,room,"East Building, Ground - Elevator Lobby",0,https://www.nga.gov/content/dam/ngaweb/LocationMaps/eb-ground.png,poly,"171,139,193,129,191,175,171,169",4-eb-ground
S-150,room,"East Building, Ground Level - Library",0,https://www.nga.gov/content/dam/ngaweb/LocationMaps/eb-ground.png,poly,"369,164,367,173,330,187,330,178",4-eb-ground
EG-101,room,"East Building, Ground Level - Entrance Lobby",0,https://www.nga.gov/content/dam/ngaweb/LocationMaps/eb-ground.png,poly,"195,133,195,78,215,85,215,71,245,82,245,117,236,119,245,123,245,137,215,126",4-eb-ground
6-eb-upper,floor,"East Building, Upper Level",0,https://www.nga.gov/content/dam/ngaweb/LocationMaps/eb-upper.png,,,eb
EU-406-A,room,"East Building, Upper Level - Gallery 406A",0,https://www.nga.gov/content/dam/ngaweb/LocationMaps/eb-upper.png,poly,"170,35,189,36,188,55,171,63",6-eb-upper
EU-415-C,room,"East Building, Upper Level - Gallery 415C",0,https://www.nga.gov/content/dam/ngaweb/LocationMaps/eb-upper.png,rect,"299,94,318,118",6-eb-upper
EU-407-D,room,"East Building, Upper Level - Gallery 407D",0,https://www.nga.gov/content/dam/ngaweb/LocationMaps/eb-upper.png,poly,"223,89,230,72,198,60,193,67,194,79",6-eb-upper
EU-404-D,room,"East Building, Upper Level - Gallery 404D",0,https://www.nga.gov/content/dam/ngaweb/LocationMaps/eb-upper.png,poly,"165,156,170,154,170,164,161,163,154,164,155,153,159,154",6-eb-upper
EU-406-C,room,"East Building, Upper Level - Gallery 406C",0,https://www.nga.gov/content/dam/ngaweb/LocationMaps/eb-upper.png,poly,"137,32,150,28,150,59,137,59",6-eb-upper
EU-404-A,room,"East Building, Upper Level - Gallery 404A",0,https://www.nga.gov/content/dam/ngaweb/LocationMaps/eb-upper.png,rect,"145,71,162,107",6-eb-upper
EU-403-B,room,"East Building, Upper Level - Gallery 403B",0,https://www.nga.gov/content/dam/ngaweb/LocationMaps/eb-upper.png,poly,"131,153,131,197,153,189,154,154",6-eb-upper
EU-404-E,room,"East Building, Upper Level - Gallery 404E",0,https://www.nga.gov/content/dam/ngaweb/LocationMaps/eb-upper.png,poly,"158,64,177,71,177,86,158,86",6-eb-upper
M-082,room,"West Building, Main Floor - Gallery 82",0,https://www.nga.gov/content/dam/ngaweb/LocationMaps/wb-main.png,rect,"427,25,442,49",1-wb-main
M-071,room,"West Building, Main Floor - Gallery 71",0,https://www.nga.gov/content/dam/ngaweb/LocationMaps/wb-main.png,rect,"482,116,502,142",1-wb-main
M-050-A,room,"West Building, Main Floor - Gallery 50A",0,https://www.nga.gov/content/dam/ngaweb/LocationMaps/wb-main.png,rect,"232,152,244,164",1-wb-main
M-072,room,"West Building, Main Floor - Gallery 72",0,https://www.nga.gov/content/dam/ngaweb/LocationMaps/wb-main.png,rect,"482,71,502,97",1-wb-main
M-081,room,"West Building, Main Floor - Gallery 81",0,https://www.nga.gov/content/dam/ngaweb/LocationMaps/wb-main.png,rect,"406,25,426,49",1-wb-main
M-007,room,"West Building, Main Floor - Gallery 07",0,https://www.nga.gov/content/dam/ngaweb/LocationMaps/wb-main.png,rect,"154,72,177,93",1-wb-main
M-020,room,"West Building, Main Floor - Gallery 20",0,https://www.nga.gov/content/dam/ngaweb/LocationMaps/wb-main.png,rect,"56,25,76,48",1-wb-main
M-035-A,room,"West Building, Main Floor - Gallery 35A",0,https://www.nga.gov/content/dam/ngaweb/LocationMaps/wb-main.png,rect,"76,187,94,210",1-wb-main
M-056,room,"West Building, Main Floor - Gallery 56",0,https://www.nga.gov/content/dam/ngaweb/LocationMaps/wb-main.png,rect,"350,119,382,140",1-wb-main
M-046,room,"West Building, Main Floor - Gallery 46",0,https://www.nga.gov/content/dam/ngaweb/LocationMaps/wb-main.png,rect,"154,119,177,140",1-wb-main
M-083,room,"West Building, Main Floor - Gallery 83",0,https://www.nga.gov/content/dam/ngaweb/LocationMaps/wb-main.png,rect,"406,50,444,69",1-wb-main
M-069,room,"West Building, Main Floor - Gallery 69",0,https://www.nga.gov/content/dam/ngaweb/LocationMaps/wb-main.png,rect,"530,133,548,164",1-wb-main
M-103,room,"West Building, Main Floor - Lobby A",0,https://www.nga.gov/content/dam/ngaweb/LocationMaps/wb-main.png,rect,"57,97,78,115",1-wb-main
ttb88,building,test Touch Building 88,0,,,,
sg,building,Sculpture Garden,1,,,,
8-sg-main,floor,Sculpture Garden,1,https://www.nga.gov/content/dam/ngaweb/LocationMaps/wsg.png,,,sg
NE-Quad,room,Sculpture Garden - NE,0,https://www.nga.gov/content/dam/ngaweb/LocationMaps/wsg.png,poly,"360,3,485,1,486,101,483,101,482,130,415,129,412,116,406,103,396,91,387,84,377,79,367,77,360,75",8-sg-main
SW-Quad,room,Sculpture Garden - SW,0,https://www.nga.gov/content/dam/ngaweb/LocationMaps/wsg.png,poly,"341,279,194,280,194,176,237,177,237,173,269,173,278,168,278,137,298,138,301,153,307,166,318,178,330,186,342,190,352,192,352,219,354,227,354,260,348,269,347,275,341,275,341,279",8-sg-main
