2013.122.1,"Faille 1970, no. 807",NULL,NULL,1906,1906,Galerie Paul Cassirer,http://vocab.getty.edu/ulan/500452080,NULL
2013.122.1,"Faille 1970, no. 807",NULL,NULL,1906,1929,Curt Herrmann,http://vocab.getty.edu/ulan/500007906,NULL
2013.122.1,"Faille 1970, no. 807",NULL,NULL,NULL,NULL,Frederick Henry Herrmann,NULL,NULL
2013.122.1,"Faille 1970, no. 807",NULL,NULL,1955,1955,Carstairs Gallery,http://vocab.getty.edu/ulan/500435472,NULL
2013.122.1,"Faille 1970, no. 807",NULL,NULL,1955,1999,Paul Mellon,NULL,NULL
2013.122.1,"Faille 1970, no. 807",NULL,NULL,1999,2013,Estate of Rachel Lambert Mellon,http://vocab.getty.edu/ulan/500445182,NULL
2013.122.1,"Faille 1970, no. 807",NULL,NULL,2013,NULL,National Gallery of Art,http://vocab.getty.edu/ulan/500115983,NULL
2014.18.13,"Faille 1970, no. 502",NULL,NULL,1889,1891,Theo van Gogh,NULL,NULL
2014.18.13,"Faille 1970, no. 502",NULL,NULL,1891,NULL,Mme Johanna van Gogh-Bonger,http://vocab.getty.edu/ulan/500073337,NULL
2014.18.13,"Faille 1970, no. 502",NULL,NULL,NULL,NULL,Vincent Willem van Gogh,NULL,NULL
2014.18.13,"Faille 1970, no. 502",NULL,NULL,NULL,NULL,Emile Bernard,http://vocab.getty.edu/ulan/500012925,NULL
2014.18.13,"Faille 1970, no. 502",NULL,NULL,NULL,NULL,Ambroise Vollard,http://vocab.getty.edu/ulan/500327786,NULL
2014.18.13,"Faille 1970, no. 502",NULL,NULL,1907,1911,Cornelis Hoogendijk,NULL,NULL
2014.18.13,"Faille 1970, no. 502",NULL,NULL,1911,1942,Maria Ida Adriana van Blaaderen-Hoogendijk,NULL,NULL
2014.18.13,"Faille 1970, no. 502",NULL,NULL,1942,1950,Tom van Blaaderen,NULL,NULL
2014.18.13,"Faille 1970, no. 502",NULL,NULL,1950,NULL,Hermanna F. van Blaaderen-van Geuns,NULL,NULL
2014.18.13,"Faille 1970, no. 502",NULL,NULL,NULL,NULL,Private Collection (NGA Former Owner),NULL,NULL
2014.18.13,"Faille 1970, no. 502",NULL,NULL,NULL,NULL,Marlborough Fine Art,http://vocab.getty.edu/ulan/500434822,NULL
2014.18.13,"Faille 1970, no. 502",NULL,NULL,NULL,1956,Sir Alexander Korda,NULL,NULL
2014.18.13,"Faille 1970, no. 502",NULL,NULL,1956,1962,Mrs. David Metcalfe,NULL,NULL
2014.18.13,"Faille 1970, no. 502",NULL,NULL,1962,1962,Sotheby's,http://vocab.getty.edu/ulan/500304344,NULL
2014.18.13,"Faille 1970, no. 502",NULL,NULL,1962,NULL,Charles Willis,NULL,NULL
2014.18.13,"Faille 1970, no. 502",NULL,NULL,NULL,1999,Paul Mellon,NULL,NULL
2014.18.13,"Faille 1970, no. 502",NULL,NULL,2014,NULL,National Gallery of Art,http://vocab.getty.edu/ulan/500115983,NULL
