1963.10.31,"Faille 1970, no. 440",Collection Catalogue,http://vocab.getty.edu/aat/300417819,1965,1965,Eighteenth and Nineteenth Century Paintings & Sculpture of the French School in the Chester Dale Collection,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"National Gallery of Art, Washington",NULL,NULL,NULL,"126, repro."
1963.10.31,"Faille 1970, no. 440",Catalogue Raisonné,http://vocab.getty.edu/aat/300026061,1970,1970,The Works of Vincent van Gogh: Paintings and Drawings,NULL,"Faille, J.-B. de la",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Amsterdam,NULL,NULL,NULL,"no. F440, repro."
1963.10.31,"Faille 1970, no. 440",Periodical,http://vocab.getty.edu/aat/300026657,1973,1973,The new de la Faille,NULL,"Pickvance, Ronald",NULL,NULL,NULL,NULL,NULL,NULL,NULL,115,NULL,NULL,NULL,NULL,176.
1963.10.31,"Faille 1970, no. 440",Catalogue Raisonné,http://vocab.getty.edu/aat/300026061,1980,1980,"The Complete Van Gogh: Paintings, drawings, sketches",NULL,"Hulsker, Jan",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,New York,NULL,NULL,NULL,"378-380, no. 1639, repro."
1963.10.31,"Faille 1970, no. 440",Collection Catalogue,http://vocab.getty.edu/aat/300417819,1985,1985,European Paintings: An Illustrated Catalogue,NULL,National Gallery of Art,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Washington,NULL,NULL,NULL,"179, repro."
1963.10.31,"Faille 1970, no. 440",Monograph,http://vocab.getty.edu/aat/300060417,1994,1994,Vincent van Gogh: Sämtliche Gemälde,NULL,"Walther, Ingo F., and Rainer Metzger",NULL,NULL,NULL,NULL,NULL,NULL,NULL,2 vols.,Cologne,NULL,NULL,NULL,2:462. repro.
1963.10.31,"Faille 1970, no. 440",Collection Catalogue,http://vocab.getty.edu/aat/300417819,1965,1965,Summary Catalogue of European Paintings and Sculpture,NULL,National Gallery of Art,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Washington,NULL,NULL,NULL,59.
1963.10.31,"Faille 1970, no. 440",Collection Catalogue,http://vocab.getty.edu/aat/300417819,1968,1968,European Paintings and Sculpture: Illustrations (Companion to the Summary Catalogue),NULL,National Gallery of Art,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Washington,NULL,NULL,NULL,"52, repro."
1963.10.31,"Faille 1970, no. 440",Collection Catalogue,http://vocab.getty.edu/aat/300417819,1975,1975,European Paintings: An Illustrated Summary Catalogue,NULL,National Gallery of Art,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Washington,NULL,NULL,NULL,"156, repro."
1963.10.31,"Faille 1970, no. 440",Essay,http://vocab.getty.edu/aat/300026291,1984,1984,"National Gallery of Art, Washington",NULL,"Walker, John",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,New York,NULL,NULL,NULL,"520, no. 779, color repro."
1963.10.31,"Faille 1970, no. 440",Exhibition Catalogue,http://vocab.getty.edu/aat/300026096,2013,2013,Van Gogh Repetitions,NULL,"Rathbone, Eliza E., William H. Robinson, Elizabeth Steele, and Marcia Steele",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,New Haven and London,NULL,NULL,NULL,"113, 117, repro. (detail) 112, 114 fig. 53."
1963.10.31,"Faille 1970, no. 440",Review,http://vocab.getty.edu/aat/300026480,1963,1963,The Artist Looks at Children,NULL,"Kuh, Katherine",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,36.
1963.10.31,"Faille 1970, no. 440",Monograph,http://vocab.getty.edu/aat/300060417,1951,1951,Van Gogh,NULL,"Leymarie, Jean",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Paris,NULL,NULL,NULL,"119, no. 102."
